126415614616154112,b'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is',positive,apple
126402758403305474,"b""Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY""",positive,apple
126397179614068736,b'@RIM you made it too easy for me to switch to @Apple iPhone. See ya!',positive,apple
126379685453119488,b'The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace',positive,apple
126377656416612353,b'Great up close & personal event @Apple tonight in Regent St store!',positive,apple
126373779483004928,b'From which companies do you experience the best customer service aside from @zappos and @apple?',positive,apple
126365858481188864,b'Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol',positive,apple
126360935509135362,"b""RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!""",positive,apple
126360398885687296,b'Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple',positive,apple
126358340220616704,"b""Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!""",positive,apple
126357982685569024,b'\xe4\xbd\xa0\xe5\xa5\xbd ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  \xee\x94\x96\xee\x94\x93',positive,apple
126352268705538048,"b'Come to the dark side \xf0\x9f\x93\xb1\xe2\x80\x9c@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.\xe2\x80\x9d'",positive,apple
126342268603998208,"b'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.'",positive,apple
126325800080392193,b'@DailyDealChat @apple Thanks!!',positive,apple
126324177501302784,b'iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes',positive,apple
126322063332999169,b'@apple @siri is efffing amazing!!',positive,apple
126318009647235072,"b'RT @TripLingo: We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'",positive,apple
126315223060709376,"b'We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'",positive,apple
126314687116750849,b'We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16',positive,apple
